Sample	Bin_1_obs_exp_ratio	Bin_2_obs_exp_ratio	Bin_3_obs_exp_ratio	Bin_4_obs_exp_ratio	Bin_5_obs_exp_ratio
pooled_low_WT	1.13989500706873	1.15999269818616	1.05090858106147	0.950612441160095	0.739966150181501
TCGA-BL-A13J	1.18434683117646	1.19749274955562	1.10122895282005	0.934607983873431	0.675113952355015
TCGA-BT-A20T	1.1427878567423	1.15047619047619	0.994995054994456	0.981322265045953	0.689212796156786
TCGA-BT-A20V	1.046248292126	1.18340958070248	0.981884326973049	0.818416166423305	0.653236342521654
TCGA-BT-A2LA	1.08473595718909	1.11421637125837	1.17836479767866	0.981734002467008	0.830741643551596
TCGA-DK-A1A5	1.14216839809447	1.14549954909147	1.07158886894075	0.984588254743842	0.80150239780006
TCGA-DK-A1A6	1.22865289086153	1.216796875	1.07535200371345	0.924954705826261	0.631676896372779
TCGA-DK-A1AA	1.27598793842247	1.2847627766028	1.03037811897182	0.905875115349123	0.632242922106498
TCGA-DK-A3IL	1.09291284147172	1.0800778873068	1.02385645894517	0.878140911436276	0.792002793142101
TCGA-GD-A2C5	1.29145251579533	1.19558047493404	1.05696502376946	0.928048392231773	0.680251678104305
TCGA-H4-A2HQ	1.22038665624234	1.17880001841875	1.05221280215107	0.944967661409282	0.658700240923672
